time,rank,schmidt_proxy_from_rhoA,p_eig,cum_weight,cut,channel,gamma,model,N,m_over_g,x
6.0,4,0.1447411338619238,0.020949995831635346,0.8959668605461185,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,5,0.14089906448726847,0.019852546373387434,0.9158194069195059,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,6,0.10448850957243644,0.010917848632669142,0.926737255552175,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,7,0.10155008878684721,0.010312420532616553,0.9370496760847916,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,8,0.09955149433295143,0.009910500023923663,0.9469601761087153,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,9,0.09798665118140591,0.009601383809746516,0.9565615599184618,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,10,0.09348853287202963,0.008740105778564565,0.9653016656970264,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,11,0.0795287313259434,0.006324819106314092,0.9716264848033405,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,12,0.07028798905527793,0.004940401405434869,0.9765668862087753,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,13,0.06348355508940366,0.00403016176678935,0.9805970479755647,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,14,0.06280050754135161,0.00394390374745136,0.984540951723016,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,15,0.06069603587002464,0.003684008770335317,0.9882249604933514,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,16,0.05304468175944815,0.0028137382629611317,0.9910386987563126,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,17,0.04449178275610684,0.001979518732816606,0.9930182174891292,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,18,0.037481209846753606,0.0014048410915763797,0.9944230585807056,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,19,0.034319482880049365,0.0011778269051540015,0.9956008854858596,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,20,0.029056334067060544,0.0008442705494166231,0.9964451560352762,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,21,0.027843802382753836,0.0007752773311298483,0.997220433366406,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,22,0.02621728125918723,0.0006873458366233299,0.9979077792030293,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,23,0.023444525780674963,0.0005496457890807329,0.9984574249921101,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,24,0.019357068295199183,0.00037469609298500543,0.9988321210850951,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,25,0.01846279255694305,0.00034087470900071167,0.9991729957940958,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,26,0.017632301379905558,0.0003108980519518194,0.9994838938460476,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,27,0.014242422971821852,0.0002028466121082788,0.9996867404581559,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,28,0.01388391668869799,0.0001927631426187066,0.9998795036007746,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,29,0.008987427474062294,8.077385260152974e-05,0.9999602774533761,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,30,0.005616872535714018,3.154925708245842e-05,0.9999918267104586,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,31,0.002858896560126562,8.173289541503488e-06,1.0000000000000002,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
